Google Dengue Trends - Brazil
Copyright 2015 Google Inc.

Exported data may be used for any purpose, subject to the Google Terms of Service (http://www.google.com/accounts/TOS?hl=en_US).
If you choose to use the data, please attribute it to Google as follows: "Data Source: Google Dengue Trends (http://www.google.org/denguetrends)".

Each week begins on the Sunday (Pacific Time) indicated for the row.
Data for the current week will be updated each day until Saturday (Pacific Time).
Note: To open these files in a spreadsheet application, we recommend you save each text file as a CSV spreadsheet.
For more information, please visit http://www.google.org/denguetrends

Date,Brazil
2002-12-29,0.073
2003-01-05,0.098
2003-01-12,0.119
2003-01-19,0.170
2003-01-26,0.138
2003-02-02,0.202
2003-02-09,0.179
2003-02-16,0.239
2003-02-23,0.205
2003-03-02,0.142
2003-03-09,0.280
2003-03-16,0.162
2003-03-23,0.170
2003-03-30,0.176
2003-04-06,0.134
2003-04-13,0.150
2003-04-20,0.104
2003-04-27,0.104
2003-05-04,0.089
2003-05-11,0.067
2003-05-18,0.109
2003-05-25,0.071
2003-06-01,0.080
2003-06-08,0.062
2003-06-15,0.036
2003-06-22,0.073
2003-06-29,0.056
2003-07-06,0.018
2003-07-13,0.015
2003-07-20,0.052
2003-07-27,0.013
2003-08-03,0.044
2003-08-10,0.036
2003-08-17,0.032
2003-08-24,0.034
2003-08-31,0.011
2003-09-07,0.018
2003-09-14,0.034
2003-09-21,0.015
2003-09-28,0.016
2003-10-05,0.020
2003-10-12,0.041
2003-10-19,0.026
2003-10-26,0.034
2003-11-02,0.038
2003-11-09,0.038
2003-11-16,0.046
2003-11-23,0.068
2003-11-30,0.063
2003-12-07,0.060
2003-12-14,0.055
2003-12-21,0.053
2003-12-28,0.049
2004-01-04,0.085
2004-01-11,0.095
2004-01-18,0.072
2004-01-25,0.057
2004-02-01,0.069
2004-02-08,0.067
2004-02-15,0.077
2004-02-22,0.088
2004-02-29,0.085
2004-03-07,0.096
2004-03-14,0.071
2004-03-21,0.085
2004-03-28,0.096
2004-04-04,0.071
2004-04-11,0.054
2004-04-18,0.067
2004-04-25,0.027
2004-05-02,0.039
2004-05-09,0.043
2004-05-16,0.031
2004-05-23,0.040
2004-05-30,0.030
2004-06-06,0.032
2004-06-13,0.024
2004-06-20,0.022
2004-06-27,0.032
2004-07-04,0.017
2004-07-11,0.028
2004-07-18,0.010
2004-07-25,0.017
2004-08-01,0.026
2004-08-08,0.013
2004-08-15,0.018
2004-08-22,0.020
2004-08-29,0.019
2004-09-05,0.031
2004-09-12,0.019
2004-09-19,0.022
2004-09-26,0.026
2004-10-03,0.021
2004-10-10,0.015
2004-10-17,0.045
2004-10-24,0.041
2004-10-31,0.047
2004-11-07,0.046
2004-11-14,0.059
2004-11-21,0.078
2004-11-28,0.057
2004-12-05,0.032
2004-12-12,0.033
2004-12-19,0.040
2004-12-26,0.045
2005-01-02,0.063
2005-01-09,0.057
2005-01-16,0.070
2005-01-23,0.062
2005-01-30,0.062
2005-02-06,0.074
2005-02-13,0.086
2005-02-20,0.072
2005-02-27,0.040
2005-03-06,0.079
2005-03-13,0.068
2005-03-20,0.074
2005-03-27,0.091
2005-04-03,0.067
2005-04-10,0.057
2005-04-17,0.062
2005-04-24,0.062
2005-05-01,0.058
2005-05-08,0.059
2005-05-15,0.063
2005-05-22,0.050
2005-05-29,0.067
2005-06-05,0.056
2005-06-12,0.056
2005-06-19,0.050
2005-06-26,0.041
2005-07-03,0.042
2005-07-10,0.034
2005-07-17,0.035
2005-07-24,0.051
2005-07-31,0.049
2005-08-07,0.052
2005-08-14,0.052
2005-08-21,0.026
2005-08-28,0.035
2005-09-04,0.026
2005-09-11,0.025
2005-09-18,0.029
2005-09-25,0.029
2005-10-02,0.028
2005-10-09,0.030
2005-10-16,0.048
2005-10-23,0.043
2005-10-30,0.041
2005-11-06,0.046
2005-11-13,0.067
2005-11-20,0.069
2005-11-27,0.032
2005-12-04,0.037
2005-12-11,0.027
2005-12-18,0.043
2005-12-25,0.046
2006-01-01,0.067
2006-01-08,0.055
2006-01-15,0.088
2006-01-22,0.127
2006-01-29,0.133
2006-02-05,0.145
2006-02-12,0.137
2006-02-19,0.136
2006-02-26,0.162
2006-03-05,0.156
2006-03-12,0.167
2006-03-19,0.175
2006-03-26,0.161
2006-04-02,0.155
2006-04-09,0.187
2006-04-16,0.197
2006-04-23,0.217
2006-04-30,0.211
2006-05-07,0.158
2006-05-14,0.119
2006-05-21,0.118
2006-05-28,0.132
2006-06-04,0.090
2006-06-11,0.063
2006-06-18,0.083
2006-06-25,0.066
2006-07-02,0.045
2006-07-09,0.044
2006-07-16,0.045
2006-07-23,0.046
2006-07-30,0.023
2006-08-06,0.039
2006-08-13,0.034
2006-08-20,0.043
2006-08-27,0.041
2006-09-03,0.026
2006-09-10,0.036
2006-09-17,0.043
2006-09-24,0.031
2006-10-01,0.026
2006-10-08,0.022
2006-10-15,0.032
2006-10-22,0.043
2006-10-29,0.036
2006-11-05,0.041
2006-11-12,0.054
2006-11-19,0.069
2006-11-26,0.052
2006-12-03,0.042
2006-12-10,0.054
2006-12-17,0.050
2006-12-24,0.059
2006-12-31,0.067
2007-01-07,0.068
2007-01-14,0.063
2007-01-21,0.097
2007-01-28,0.145
2007-02-04,0.130
2007-02-11,0.143
2007-02-18,0.164
2007-02-25,0.180
2007-03-04,0.213
2007-03-11,0.277
2007-03-18,0.306
2007-03-25,0.317
2007-04-01,0.342
2007-04-08,0.364
2007-04-15,0.384
2007-04-22,0.393
2007-04-29,0.333
2007-05-06,0.269
2007-05-13,0.253
2007-05-20,0.221
2007-05-27,0.173
2007-06-03,0.146
2007-06-10,0.180
2007-06-17,0.130
2007-06-24,0.101
2007-07-01,0.088
2007-07-08,0.100
2007-07-15,0.087
2007-07-22,0.075
2007-07-29,0.074
2007-08-05,0.045
2007-08-12,0.050
2007-08-19,0.051
2007-08-26,0.054
2007-09-02,0.068
2007-09-09,0.065
2007-09-16,0.062
2007-09-23,0.055
2007-09-30,0.059
2007-10-07,0.079
2007-10-14,0.119
2007-10-21,0.121
2007-10-28,0.122
2007-11-04,0.125
2007-11-11,0.099
2007-11-18,0.134
2007-11-25,0.131
2007-12-02,0.123
2007-12-09,0.105
2007-12-16,0.116
2007-12-23,0.150
2007-12-30,0.194
2008-01-06,0.164
2008-01-13,0.204
2008-01-20,0.175
2008-01-27,0.165
2008-02-03,0.156
2008-02-10,0.180
2008-02-17,0.191
2008-02-24,0.233
2008-03-02,0.270
2008-03-09,0.335
2008-03-16,0.447
2008-03-23,0.702
2008-03-30,0.957
2008-04-06,1.000
2008-04-13,0.758
2008-04-20,0.662
2008-04-27,0.451
2008-05-04,0.309
2008-05-11,0.249
2008-05-18,0.229
2008-05-25,0.197
2008-06-01,0.124
2008-06-08,0.105
2008-06-15,0.100
2008-06-22,0.065
2008-06-29,0.048
2008-07-06,0.045
2008-07-13,0.030
2008-07-20,0.028
2008-07-27,0.032
2008-08-03,0.027
2008-08-10,0.024
2008-08-17,0.035
2008-08-24,0.029
2008-08-31,0.031
2008-09-07,0.033
2008-09-14,0.025
2008-09-21,0.026
2008-09-28,0.025
2008-10-05,0.025
2008-10-12,0.028
2008-10-19,0.044
2008-10-26,0.046
2008-11-02,0.049
2008-11-09,0.061
2008-11-16,0.059
2008-11-23,0.059
2008-11-30,0.041
2008-12-07,0.070
2008-12-14,0.099
2008-12-21,0.098
2008-12-28,0.108
2009-01-04,0.127
2009-01-11,0.117
2009-01-18,0.117
2009-01-25,0.145
2009-02-01,0.172
2009-02-08,0.209
2009-02-15,0.252
2009-02-22,0.262
2009-03-01,0.377
2009-03-08,0.420
2009-03-15,0.435
2009-03-22,0.439
2009-03-29,0.403
2009-04-05,0.310
2009-04-12,0.344
2009-04-19,0.255
2009-04-26,0.235
2009-05-03,0.214
2009-05-10,0.230
2009-05-17,0.230
2009-05-24,0.206
2009-05-31,0.166
2009-06-07,0.108
2009-06-14,0.111
2009-06-21,0.088
2009-06-28,0.069
2009-07-05,0.070
2009-07-12,0.064
2009-07-19,0.049
2009-07-26,0.052
2009-08-02,0.055
2009-08-09,0.058
2009-08-16,0.078
2009-08-23,0.079
2009-08-30,0.076
2009-09-06,0.064
2009-09-13,0.080
2009-09-20,0.065
2009-09-27,0.063
2009-10-04,0.053
2009-10-11,0.044
2009-10-18,0.074
2009-10-25,0.086
2009-11-01,0.109
2009-11-08,0.118
2009-11-15,0.122
2009-11-22,0.142
2009-11-29,0.121
2009-12-06,0.103
2009-12-13,0.110
2009-12-20,0.108
2009-12-27,0.127
2010-01-03,0.161
2010-01-10,0.185
2010-01-17,0.199
2010-01-24,0.212
2010-01-31,0.257
2010-02-07,0.318
2010-02-14,0.370
2010-02-21,0.583
2010-02-28,0.596
2010-03-07,0.626
2010-03-14,0.623
2010-03-21,0.652
2010-03-28,0.586
2010-04-04,0.623
2010-04-11,0.620
2010-04-18,0.499
2010-04-25,0.465
2010-05-02,0.482
2010-05-09,0.396
2010-05-16,0.349
2010-05-23,0.286
2010-05-30,0.229
2010-06-06,0.213
2010-06-13,0.183
2010-06-20,0.165
2010-06-27,0.134
2010-07-04,0.125
2010-07-11,0.107
2010-07-18,0.099
2010-07-25,0.096
2010-08-01,0.093
2010-08-08,0.108
2010-08-15,0.103
2010-08-22,0.109
2010-08-29,0.102
2010-09-05,0.087
2010-09-12,0.102
2010-09-19,0.096
2010-09-26,0.073
2010-10-03,0.065
2010-10-10,0.054
2010-10-17,0.080
2010-10-24,0.085
2010-10-31,0.096
2010-11-07,0.102
2010-11-14,0.114
2010-11-21,0.121
2010-11-28,0.102
2010-12-05,0.093
2010-12-12,0.094
2010-12-19,0.105
2010-12-26,0.101
2011-01-02,0.112
2011-01-09,0.126
2011-01-16,0.127
2011-01-23,0.150
2011-01-30,0.162
2011-02-06,0.216
2011-02-13,0.262
2011-02-20,0.324
2011-02-27,0.295
2011-03-06,0.284
2011-03-13,0.392
2011-03-20,0.487
2011-03-27,0.458
2011-04-03,0.486
2011-04-10,0.444
2011-04-17,0.372
2011-04-24,0.366
2011-05-01,0.320
2011-05-08,0.279
2011-05-15,0.255
2011-05-22,0.216
2011-05-29,0.175
2011-06-05,0.139
2011-06-12,0.129
2011-06-19,0.099
2011-06-26,0.089
2011-07-03,0.076
2011-07-10,0.072
2011-07-17,0.058
2011-07-24,0.068
2011-07-31,0.066
2011-08-07,0.073
2011-08-14,0.074
2011-08-21,0.074
2011-08-28,0.076
2011-09-04,0.076
2011-09-11,0.079
2011-09-18,0.073
2011-09-25,0.071
2011-10-02,0.075
2011-10-09,0.071
2011-10-16,0.082
2011-10-23,0.097
2011-10-30,0.090
2011-11-06,0.097
2011-11-13,0.090
2011-11-20,0.092
2011-11-27,0.079
2011-12-04,0.080
2011-12-11,0.087
2011-12-18,0.083
2011-12-25,0.084
2012-01-01,0.103
2012-01-08,0.112
2012-01-15,0.095
2012-01-22,0.102
2012-01-29,0.109
2012-02-05,0.116
2012-02-12,0.124
2012-02-19,0.141
2012-02-26,0.177
2012-03-04,0.176
2012-03-11,0.188
2012-03-18,0.198
2012-03-25,0.194
2012-04-01,0.177
2012-04-08,0.202
2012-04-15,0.204
2012-04-22,0.217
2012-04-29,0.185
2012-05-06,0.197
2012-05-13,0.186
2012-05-20,0.170
2012-05-27,0.160
2012-06-03,0.114
2012-06-10,0.113
2012-06-17,0.107
2012-06-24,0.093
2012-07-01,0.083
2012-07-08,0.067
2012-07-15,0.051
2012-07-22,0.060
2012-07-29,0.061
2012-08-05,0.059
2012-08-12,0.053
2012-08-19,0.050
2012-08-26,0.049
2012-09-02,0.044
2012-09-09,0.051
2012-09-16,0.054
2012-09-23,0.043
2012-09-30,0.043
2012-10-07,0.038
2012-10-14,0.050
2012-10-21,0.059
2012-10-28,0.056
2012-11-04,0.063
2012-11-11,0.058
2012-11-18,0.067
2012-11-25,0.057
2012-12-02,0.054
2012-12-09,0.053
2012-12-16,0.059
2012-12-23,0.081
2012-12-30,0.111
2013-01-06,0.127
2013-01-13,0.145
2013-01-20,0.171
2013-01-27,0.178
2013-02-03,0.182
2013-02-10,0.238
2013-02-17,0.275
2013-02-24,0.323
2013-03-03,0.328
2013-03-10,0.368
2013-03-17,0.421
2013-03-24,0.423
2013-03-31,0.501
2013-04-07,0.568
2013-04-14,0.488
2013-04-21,0.383
2013-04-28,0.320
2013-05-05,0.264
2013-05-12,0.241
2013-05-19,0.200
2013-05-26,0.147
2013-06-02,0.129
2013-06-09,0.124
2013-06-16,0.114
2013-06-23,0.088
2013-06-30,0.078
2013-07-07,0.065
2013-07-14,0.064
2013-07-21,0.051
