--------------------
BDMEP - INMET
--------------------
Estação           : SAO PAULO MIR de SANTANA  - SP (OMM: 83781)
Latitude  (graus) : -23.5
Longitude (graus) : -46.61
Altitude  (metros): 792.06
Estação Operante
Inicio de operação: 01/12/1945
Periodo solicitado dos dados: 01/01/2000 a 27/08/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83781;01/01/2000;0000;;24.7;;0.1;3.8;21.4;93.5;1.633333;
83781;01/01/2000;1200;16.8;;19.7;;;;;;
83781;02/01/2000;0000;;20.8;;0;0.9;18.8;94.5;2.6;
83781;02/01/2000;1200;49.8;;17.6;;;;;;
83781;03/01/2000;0000;;23.7;;0.3;0.6;19.46;89.75;1.466667;
83781;03/01/2000;1200;14.8;;17.3;;;;;;
83781;04/01/2000;0000;;22.7;;0.1;12;20.82;84.25;3.133333;
83781;04/01/2000;1200;60.8;;18;;;;;;
83781;05/01/2000;0000;;22.2;;0;1.2;21.16;88.5;1.633333;
83781;05/01/2000;1200;6.3;;19.6;;;;;;
83781;06/01/2000;0000;;26.9;;2.7;1.5;22.44;89;2.066667;
83781;06/01/2000;1200;7.2;;20.2;;;;;;
83781;07/01/2000;0000;;28.8;;5.8;2.8;22.74;86.5;3.1;
83781;07/01/2000;1200;17.6;;18.8;;;;;;
83781;08/01/2000;0000;;30;;7.1;1.7;22.72;74.75;2.4;
83781;08/01/2000;1200;6.9;;19;;;;;;
83781;09/01/2000;0000;;29.9;;6.9;2.6;23.96;73.75;2.633333;
83781;09/01/2000;1200;12.6;;20.1;;;;;;
83781;10/01/2000;0000;;32.1;;10.1;3.4;24.38;62.75;2.533333;
83781;10/01/2000;1200;11;;19.7;;;;;;
83781;11/01/2000;0000;;31.4;;9.8;5.1;26;56;4.033333;
83781;11/01/2000;1200;0;;20.1;;;;;;
83781;12/01/2000;0000;;30.7;;7.1;8.2;24.38;74.5;3.933333;
83781;12/01/2000;1200;0;;21.5;;;;;;
83781;13/01/2000;0000;;31.4;;8.7;4.7;24.92;66.75;3.3;
83781;13/01/2000;1200;5.6;;20.7;;;;;;
83781;14/01/2000;0000;;31.3;;8.8;6.8;25.64;65;3.2;
83781;14/01/2000;1200;0;;22.4;;;;;;
83781;15/01/2000;0000;;30.7;;6.3;7.2;24.76;71.75;3.066667;
83781;15/01/2000;1200;0.6;;21.3;;;;;;
83781;16/01/2000;0000;;29.7;;3.8;5.6;24.48;80.75;3.6;
83781;16/01/2000;1200;0.3;;20.5;;;;;;
83781;17/01/2000;0000;;31.5;;7.6;1.8;25.46;68.5;2.9;
83781;17/01/2000;1200;16;;20.5;;;;;;
83781;18/01/2000;0000;;31.2;;8;4.9;25.48;71.75;2.633333;
83781;18/01/2000;1200;5.8;;22;;;;;;
83781;19/01/2000;0000;;24.7;;0.4;4.5;21.38;90.75;2.733333;
83781;19/01/2000;1200;7.4;;19.7;;;;;;
83781;20/01/2000;0000;;25.9;;6;2;20.96;75.25;1.933333;
83781;20/01/2000;1200;9.2;;18.3;;;;;;
83781;21/01/2000;0000;;27.7;;6.4;3.6;22.02;73.75;1.333333;
83781;21/01/2000;1200;0;;17.8;;;;;;
83781;22/01/2000;0000;;30.1;;10.8;3.8;23.88;61.75;2.533333;
83781;22/01/2000;1200;0;;18.9;;;;;;
83781;23/01/2000;0000;;30.1;;11.4;5.2;22.66;63;2.1;
83781;23/01/2000;1200;0;;18;;;;;;
83781;24/01/2000;0000;;29;;4.3;5.5;22.88;72.75;4.3;
83781;24/01/2000;1200;0;;18.4;;;;;;
83781;25/01/2000;0000;;31.5;;8.2;3.9;24.86;74.75;1.233333;
83781;25/01/2000;1200;0;;20.8;;;;;;
83781;26/01/2000;0000;;24.9;;0;6.1;20.04;91.5;2.766667;
83781;26/01/2000;1200;39.4;;17.9;;;;;;
83781;27/01/2000;0000;;23.3;;2.2;1.4;19.16;80.5;3.4;
83781;27/01/2000;1200;40.2;;17.1;;;;;;
83781;28/01/2000;0000;;23.6;;9.6;2.5;18.48;63.5;1.666667;
83781;28/01/2000;1200;0;;15;;;;;;
83781;29/01/2000;0000;;23.8;;2.4;4.4;19.02;74;3.433333;
83781;29/01/2000;1200;0;;15.3;;;;;;
83781;30/01/2000;0000;;28.1;;5.5;3.1;21.3;74;2.766667;
83781;30/01/2000;1200;0;;16.7;;;;;;
83781;31/01/2000;0000;;29.1;;2.7;3.5;23.1;78.5;3.966667;
83781;31/01/2000;1200;0;;19;;;;;;
83781;01/02/2000;0000;;25.7;;3.6;3.5;22.8;87.75;2.266667;
83781;01/02/2000;1200;16.5;;20.4;;;;;;
83781;02/02/2000;0000;;28.5;;8.6;3;23.04;74.75;3.566667;
83781;02/02/2000;1200;3.6;;19.9;;;;;;
83781;03/02/2000;0000;;28.8;;6.3;5.5;24.6;72.5;4.466667;
83781;03/02/2000;1200;0;;20.2;;;;;;
83781;04/02/2000;0000;;28.4;;2.9;7.1;23.82;84.5;5.2;
83781;04/02/2000;1200;0;;21.5;;;;;;
83781;05/02/2000;0000;;27.5;;4.1;3.1;22.36;82.25;2.633333;
83781;05/02/2000;1200;52.7;;20;;;;;;
83781;06/02/2000;0000;;26.4;;3.8;1.8;21.58;79.5;4.1;
83781;06/02/2000;1200;5;;19.5;;;;;;
83781;07/02/2000;0000;;24.1;;2.3;4;20.64;81.25;4.033333;
83781;07/02/2000;1200;0;;17.7;;;;;;
83781;08/02/2000;0000;;24.7;;0.4;2.5;20.88;80.75;4.2;
83781;08/02/2000;1200;0;;18.5;;;;;;
83781;09/02/2000;0000;;26.3;;2.8;2.5;22.28;86;2.566667;
83781;09/02/2000;1200;0;;19.7;;;;;;
83781;10/02/2000;0000;;25.3;;0.3;2;21.82;87.5;3.033333;
83781;10/02/2000;1200;18.3;;19.7;;;;;;
83781;11/02/2000;0000;;24.3;;0.1;1.4;21.62;86.5;3.366667;
83781;11/02/2000;1200;16.8;;20.1;;;;;;
83781;12/02/2000;0000;;25.3;;0.5;1.6;21.6;90.25;3.566667;
83781;12/02/2000;1200;8.7;;19.3;;;;;;
83781;13/02/2000;0000;;22.3;;0;1;20.88;94;2.533333;
83781;13/02/2000;1200;11.6;;19.9;;;;;;
83781;14/02/2000;0000;;29.7;;5.4;1;23.54;75;2.366667;
83781;14/02/2000;1200;19.5;;19.3;;;;;;
83781;15/02/2000;0000;;30.9;;7.4;4.2;24.92;65.25;2.7;
83781;15/02/2000;1200;0;;20.3;;;;;;
83781;16/02/2000;0000;;24.9;;0.1;5.8;20.68;87;3.866667;
83781;16/02/2000;1200;0;;18.5;;;;;;
83781;17/02/2000;0000;;20;;0;1.8;17.52;92.5;3.133333;
83781;17/02/2000;1200;36.3;;16.2;;;;;;
83781;18/02/2000;0000;;21.3;;2;1.2;18.24;73;4.233333;
83781;18/02/2000;1200;10.1;;15.3;;;;;;
83781;19/02/2000;0000;;23.6;;5;3.6;19.24;77.75;4.4;
83781;19/02/2000;1200;0;;15.4;;;;;;
83781;20/02/2000;0000;;26.2;;5.1;3;20.32;75.5;3.433333;
83781;20/02/2000;1200;0;;17;;;;;;
83781;21/02/2000;0000;;29.7;;10.4;3.8;22.2;69.5;3.8;
83781;21/02/2000;1200;0;;17.4;;;;;;
83781;22/02/2000;0000;;31.1;;8.7;4.6;23.76;70;3.166667;
83781;22/02/2000;1200;0;;19.2;;;;;;
83781;23/02/2000;0000;;30.2;;7.1;4.1;23.76;73.5;2.633333;
83781;23/02/2000;1200;36.4;;19.4;;;;;;
83781;24/02/2000;0000;;30.1;;6.7;4;24.36;72.25;2.233333;
83781;24/02/2000;1200;2.2;;20.4;;;;;;
83781;25/02/2000;0000;;29.5;;8.4;3.8;23.52;71.25;3.866667;
83781;25/02/2000;1200;1;;19.7;;;;;;
83781;26/02/2000;0000;;30.2;;7.6;4.2;23.8;74.5;3.5;
83781;26/02/2000;1200;0;;20.2;;;;;;
83781;27/02/2000;0000;;30.7;;5.5;3.8;24.36;81.25;2.233333;
83781;27/02/2000;1200;0;;21;;;;;;
83781;28/02/2000;0000;;31;;7.3;3.5;24.12;73.75;2.466667;
83781;28/02/2000;1200;1.7;;20.2;;;;;;
83781;29/02/2000;0000;;29.5;;6.1;3.5;23.48;75.75;1.966667;
83781;29/02/2000;1200;6.2;;20.4;;;;;;
83781;01/03/2000;0000;;29.3;;7.3;2.5;23.62;73.75;2.5;
83781;01/03/2000;1200;2.8;;20;;;;;;
83781;02/03/2000;0000;;29.9;;9.2;3.5;23.6;71.75;3.433333;
83781;02/03/2000;1200;9.7;;19.7;;;;;;
83781;03/03/2000;0000;;29.1;;6.8;4;23.04;76.75;2.433333;
83781;03/03/2000;1200;0;;19.2;;;;;;
83781;04/03/2000;0000;;31.7;;9.6;3;24.94;63.75;2.133333;
83781;04/03/2000;1200;4.2;;19.1;;;;;;
83781;05/03/2000;0000;;31.8;;10.3;5;25.3;65.5;2.033333;
83781;05/03/2000;1200;0.2;;20.7;;;;;;
83781;06/03/2000;0000;;31.4;;9.4;5;26.3;60.5;0.866667;
83781;06/03/2000;1200;0;;21.7;;;;;;
83781;07/03/2000;0000;;26.5;;0.1;5;21.16;87.5;1.666667;
83781;07/03/2000;1200;0.5;;18.7;;;;;;
83781;08/03/2000;0000;;21.1;;0.8;2;17.94;81.25;3.033333;
83781;08/03/2000;1200;20.6;;16.4;;;;;;
83781;09/03/2000;0000;;24.7;;6.7;2.1;19.12;70.25;4.933333;
83781;09/03/2000;1200;0;;14.7;;;;;;
83781;10/03/2000;0000;;25.7;;4.1;3.8;20.06;74.75;3.366667;
83781;10/03/2000;1200;0;;16.4;;;;;;
83781;11/03/2000;0000;;22.3;;0;2.4;19.48;84.25;3.4;
83781;11/03/2000;1200;0;;17.5;;;;;;
83781;12/03/2000;0000;;22.7;;0.9;1.9;18.98;75.5;4.3;
83781;12/03/2000;1200;0;;17.3;;;;;;
83781;13/03/2000;0000;;25;;8;2.8;19.3;68.75;4.066667;
83781;13/03/2000;1200;0;;14.7;;;;;;
83781;14/03/2000;0000;;26.9;;7.4;3.8;20.1;69.5;4.133333;
83781;14/03/2000;1200;0;;15.4;;;;;;
83781;15/03/2000;0000;;25.9;;1.6;3.5;20.74;81;2.466667;
83781;15/03/2000;1200;0;;17.4;;;;;;
83781;16/03/2000;0000;;28.3;;3.5;3.3;22.6;83.75;2.4;
83781;16/03/2000;1200;0;;19.4;;;;;;
83781;17/03/2000;0000;;29.1;;5;1.7;23.26;83;1.166667;
83781;17/03/2000;1200;15.9;;20;;;;;;
83781;18/03/2000;0000;;28.1;;3.3;2.8;22.32;86.25;2.733333;
83781;18/03/2000;1200;5.8;;19.5;;;;;;
83781;19/03/2000;0000;;23;;1.9;2.2;19.76;78.75;4.866667;
83781;19/03/2000;1200;16.8;;18.4;;;;;;
83781;20/03/2000;0000;;20.9;;0;2.5;19.4;84.5;4.1;
83781;20/03/2000;1200;0;;17.2;;;;;;
83781;21/03/2000;0000;;25.7;;1.4;1.5;20.96;84;3.066667;
83781;21/03/2000;1200;0.7;;18.2;;;;;;
83781;22/03/2000;0000;;24.1;;0.1;2;20.6;87.75;3.033333;
83781;22/03/2000;1200;4;;19;;;;;;
83781;23/03/2000;0000;;26.4;;0.5;1.5;22.1;83;2.233333;
83781;23/03/2000;1200;1.6;;19;;;;;;
83781;24/03/2000;0000;;30.6;;7.4;1;23.68;72;4.466667;
83781;24/03/2000;1200;0;;19;;;;;;
83781;25/03/2000;0000;;25.6;;5.8;7;21.58;76.5;3.9;
83781;25/03/2000;1200;0;;19.5;;;;;;
83781;26/03/2000;0000;;25.9;;2.9;3;21.3;83.25;2.633333;
83781;26/03/2000;1200;0;;18.8;;;;;;
83781;27/03/2000;0000;;27.9;;1.3;3;23.14;72.75;3.4;
83781;27/03/2000;1200;2.9;;18.9;;;;;;
83781;28/03/2000;0000;;25.1;;1.3;4;21.74;80.25;2.466667;
83781;28/03/2000;1200;0;;19.5;;;;;;
83781;29/03/2000;0000;;20.5;;0;2.5;19.32;91.5;1.9;
83781;29/03/2000;1200;8.1;;18.3;;;;;;
83781;30/03/2000;0000;;23.5;;1.1;0.7;20.24;85.5;2.933333;
83781;30/03/2000;1200;3.9;;17.8;;;;;;
83781;31/03/2000;0000;;29.1;;7.5;1.8;22.1;76.25;2.1;
83781;31/03/2000;1200;2.4;;18.4;;;;;;
83781;01/04/2000;0000;;27.3;;4.4;2.8;21.3;79.25;2.3;
83781;01/04/2000;1200;4;;18.3;;;;;;
83781;02/04/2000;0000;;22;;0.6;2.7;19.1;80;4.8;
83781;02/04/2000;1200;0.1;;17.9;;;;;;
83781;03/04/2000;0000;;20.1;;0;3;16.9;83.75;3.733333;
83781;03/04/2000;1200;0.8;;14.7;;;;;;
83781;04/04/2000;0000;;24.3;;7.9;2.2;19.04;70.75;4.066667;
83781;04/04/2000;1200;0.1;;15.7;;;;;;
83781;05/04/2000;0000;;25.3;;8.7;5.3;19.66;75.25;3.233333;
83781;05/04/2000;1200;0;;15.7;;;;;;
83781;06/04/2000;0000;;26.3;;7.6;4.5;20.78;71;3.766667;
83781;06/04/2000;1200;0;;16.7;;;;;;
83781;07/04/2000;0000;;28.3;;8.8;4;22.06;70.25;3;
83781;07/04/2000;1200;0;;18.2;;;;;;
83781;08/04/2000;0000;;29.2;;6;4;22.32;75.25;2.333333;
83781;08/04/2000;1200;0;;18.4;;;;;;
83781;09/04/2000;0000;;29.2;;6.8;3;21.68;74.25;2.433333;
