--------------------
BDMEP - INMET
--------------------
Estação           : **SAO PAULO MIR de SANTANA  - SP (OMM: 83781)**
Latitude  (graus) : -23.5
Longitude (graus) : -46.61
Altitude  (metros): 792.06
Estação Operante
Inicio de operação: 01/12/1945
Periodo solicitado dos dados: **01/01/2000 a 27/08/2015**
Os dados listados abaixo são os que encontram-se digitados no BDMEP

--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83781;31/01/2000;0000;9;2.707527;5.6;124.3;;;163.1;8.215054;19;328.3;;921.925806;27.790323;22.543226;19.093548;76.330645;;
83781;29/02/2000;0000;9;3.309195;7.8;94.9;;;128.5;8.655172;16;246.6;;924.108046;27.110345;22.269655;19.182759;79.163793;;
83781;31/03/2000;0000;5;2.973118;7.3;90.8;;;125.2;8.44086;16;100.1;;924.736559;26.380645;21.54;18.380645;77.806452;;
83781;30/04/2000;0000;9;2.851111;5.8;133.9;;;222.2;5.688889;6;6.3;;926.661111;26.323333;20.503333;16.56;68.733333;;
83781;31/05/2000;0000;5;2.723656;6;142.4;;;194.7;6.075269;5;9.3;;927.005376;23.087097;17.885161;13.93871;68.169355;;
83781;30/06/2000;0000;5;2.574444;8.3;134.8;;;162.8;5.588889;3;12.2;;927.847778;24.276667;18.228667;13.8;66.483333;;
83781;31/07/2000;0000;32;2.424731;8.8;118;;;165.3;6.430108;3;65.6;;928.027957;21.467742;15.261935;10.925806;67.072581;;
83781;31/08/2000;0000;5;2.629032;6;128.8;;;167.8;6.88172;9;86.3;;928.221505;23.6;17.063871;12.267742;68.379032;;
83781;30/09/2000;0000;5;3.156667;9.6;101.6;;;130.5;8.022222;11;111.1;;927.411111;23.876667;18.170667;14.386667;75.4;;
83781;31/10/2000;0000;14;3.103226;6.5;152.7;;;194.4;7.139785;10;59;;925.680645;28.806452;22.026452;17.690323;69.241935;;
83781;30/11/2000;0000;14;3.347778;8.5;123.5;;;147.6;8.411111;10;186;;923.284444;27.033333;21.46;17.853333;74.125;;
83781;31/12/2000;0000;14;3.008602;6.6;129.1;;;;7.623656;16;249.7;;922.310753;28.245161;22.475484;18.422581;74.209677;;
83781;31/01/2001;0000;32;2.562366;5.6;139;;;;7.483871;16;144.2;;925.031183;30.245161;24.049032;19.877419;70.887097;;
83781;28/02/2001;0000;0;2.009524;9;104.3;;;;8.154762;17;290.1;;923.952381;29.964286;24.055714;20.160714;76;;
83781;31/03/2001;0000;0;1.937634;5.8;131.3;;;212.9;7.322581;15;138.5;;925.013978;30.016129;23.689032;19.512903;72.862903;;
83781;30/04/2001;0000;5;2.6;6;145.7;;;232.1;6.166667;3;32.9;;927.128889;28.343333;22.495333;18.566667;68.066667;;
83781;31/05/2001;0000;9;2.744086;7.5;112.6;;;127.2;7.086022;11;86.1;;926.355914;22.990323;18.293548;14.877419;74.580645;;
83781;30/06/2001;0000;5;2.673333;7.3;102.2;;;;6.788889;5;24.5;;929.351111;22.97;17.517333;13.773333;73.958333;;
83781;31/07/2001;0000;0;2.190323;7.1;115.4;;;;5.903226;9;41;;929.034409;23.541935;17.270323;12.63871;71.298387;;
83781;31/08/2001;0000;5;2.246237;6.6;131.6;;;;5.032258;5;32.8;;931.437634;25.193548;18.636774;14.074194;66.701613;;
83781;30/09/2001;0000;14;3.141111;7.5;111.6;;;;6.933333;12;88.5;;927.335556;24.226667;18.506;14.616667;73.491667;;
83781;31/10/2001;0000;18;3.383871;7.8;149.3;;;228.6;6.462366;9;204.3;;925.094624;26.906452;20.292903;15.958065;70.112903;;
83781;30/11/2001;0000;14;3.101111;5.8;133.8;;;155.9;7.7;13;185.2;;923.802222;27.4;21.648667;17.956667;74.275;;
83781;31/12/2001;0000;9;3.316129;9.1;126.7;;;153.1;8.215054;18;187;;922.888172;26.9;21.725806;18.203226;75.435484;;
83781;31/01/2002;0000;14;3.131183;6;123.3;;;150.9;8.413043;19;284.8;;923.268817;28.019355;22.8;19.174194;75.41129;;
