Spectrum,Type,Name,Norm,Time/h,Na2O,Na2O.err,MgO,MgO.err,Al2O3,Al2O3.err,SiO2,SiO2.err,P2O5,P2O5.err,SO3,SO3.err,Cl,Cl.err,K2O,K2O.err,CaO,CaO.err,TiO2,TiO2.err,Cr2O3,Cr2O3.err,MnO,MnO.err,FeO,FeO.err,Ni,Ni.err,Zn,Zn.err,Br,Br.err
B011_CS,SU,Tarmac,50,7.5,1.83,0.28,7.58,0.12,9.26,0.13,46.30,0.47,0.83,0.08,4.99,0.08,0.63,0.02,0.47,0.06,7.31,0.06,1.04,0.07,0.45,0.04,0.37,0.01,18.80,0.13,423,57,241,20,32,17
B015_S,RU,Robert.E,93,1.4,1.56,0.88,8.29,0.21,7.46,0.18,39.60,0.49,0.97,0.19,19.42,0.28,0.81,0.03,0.57,0.07,5.03,0.07,0.74,0.12,0.19,0.04,0.28,0.04,15.00,0.14,597,72,569,34,7,21
B023_CS,SU,Hematite_Slope_Hema2,62,5.0,2.12,0.26,7.50,0.12,8.59,0.13,42.70,0.45,0.81,0.08,4.77,0.08,0.68,0.02,0.43,0.06,6.13,0.06,0.78,0.07,0.30,0.04,0.31,0.01,24.80,0.17,633,64,312,24,37,19
B025_CS,ST,Trench_floor,68,5.0,2.03,0.24,7.49,0.11,9.21,0.12,45.90,0.38,0.80,0.08,6.96,0.09,0.70,0.02,0.49,0.06,6.69,0.06,1.13,0.08,0.40,0.04,0.35,0.01,17.70,0.11,634,61,428,24,159,21
B026_CS,ST,Trench_sidewall,58,5.1,1.92,0.30,7.42,0.13,9.05,0.14,45.30,0.48,0.75,0.08,5.69,0.09,0.59,0.02,0.45,0.06,6.72,0.06,1.24,0.08,0.46,0.04,0.36,0.02,19.90,0.15,631,69,348,28,130,21
B029_CS,RU,McKittrick_asis,95,5.0,2.28,0.25,8.14,0.12,8.39,0.12,43.10,0.41,0.97,0.08,12.73,0.14,0.87,0.02,0.53,0.06,5.72,0.05,0.87,0.07,0.26,0.03,0.30,0.01,15.70,0.11,588,49,295,16,211,18
B030_CS,RU,Guadalupe_asis,75,3.4,1.88,0.30,7.95,0.14,7.26,0.12,40.30,0.44,1.01,0.09,18.75,0.22,0.87,0.02,0.58,0.06,4.92,0.05,0.84,0.08,0.17,0.04,0.30,0.01,15.10,0.12,657,60,373,23,43,19
B031_CS,RR,McKittrick_RAT,81,4.4,1.67,0.27,8.00,0.13,6.20,0.12,38.30,0.40,0.99,0.09,21.31,0.22,0.60,0.02,0.56,0.06,4.42,0.05,0.81,0.08,0.19,0.03,0.30,0.01,16.50,0.12,735,56,279,19,342,21
B036_CS,RR,Guadalupe_RAT,100,3.9,1.66,0.26,8.45,0.12,5.85,0.10,36.20,0.37,0.97,0.09,24.91,0.25,0.50,0.01,0.53,0.06,4.91,0.05,0.65,0.07,0.17,0.03,0.30,0.01,14.80,0.11,589,50,324,17,30,16
B040_CS,RU,Last_Chance_Makar_asis,94,6.5,2.09,0.23,7.65,0.10,7.06,0.09,38.40,0.36,1.00,0.08,18.91,0.18,0.90,0.02,0.56,0.06,4.84,0.04,0.70,0.06,0.16,0.03,0.30,0.01,17.40,0.11,686,48,397,16,32,15
