337521_table

termType,rxcui,name,isHumanDrug,isVetDrug,isPrescribable
"BN","337521","Avastin","US","","Y",
"DF","1649574","Injection","US","US","Y",
"IN","253337","bevacizumab","US","","Y",
"SBD","1657068","Avastin 100 MG per 4 ML Injection","US","","Y",
"SBD","1657074","Avastin 400 MG per 16 ML Injection","US","","Y",
"SBDC","544556","bevacizumab 25 MG/ML [Avastin]","US","","Y",
"SBDF","1657067","bevacizumab Injection [Avastin]","US","","Y",
"SCD","1657066","4 ML bevacizumab 25 MG/ML Injection","US","","Y",
"SCD","1657073","16 ML bevacizumab 25 MG/ML Injection","US","","Y",
"SCDC","437105","bevacizumab 25 MG/ML","US","","Y",
"SCDF","1657065","bevacizumab Injection","US","","Y",
"SCDG","1161185","bevacizumab Injectable Product","US","","Y",
"SBDG","1175674","Avastin Injectable Product","US","","Y",
"DFG","1151126","Injectable Product","US","US","Y",
